Longitude,Latitude,VE  AUS,VN  AUS,σE,σN
175.072,-41.136,-23.21,-7.95,0.59,0.55
175.032,-41.148,-23.37,-7.43,0.49,0.44
174.971,-41.145,-21.34,-6.73,0.52,0.51
174.968,-41.185,-22.42,-7.09,0.5,0.48
174.907,-41.105,-19.6,-5.58,0.49,0.51
174.906,-41.163,-19,-7.05,2.46,1.12
174.949,-41.17,-21.96,-6.84,0.45,0.52
174.914,-41.142,-20.21,-5.86,0.59,0.54
174.902,-41.025,-18.02,-4.81,0.54,0.44
174.848,-41.094,-18.74,-5.01,0.46,0.71
174.855,-41.075,-17.54,-3.14,2.49,1.81
174.823,-41.109,-18.3,-4.94,0.66,0.9
174.839,-41.062,-18.17,-4.43,0.57,0.52
174.88,-41.06,-17.89,-4.63,0.45,0.48
174.804,-41.133,-18.15,-4.54,0.41,0.48
174.854,-41.156,-20.21,-5.47,0.54,0.61
174.856,-41.131,-19.14,-5.22,0.51,0.5
174.884,-41.141,-19.61,-5.57,0.46,0.45
175.196,-41.166,-25.2,-8.89,0.51,0.5
175.198,-41.209,-26.32,-9.58,0.75,0.6
175.383,-41.323,-31.44,-9.51,0.51,0.43
175.394,-41.366,-31.79,-9.93,0.53,0.5
175.48,-41.293,-31.09,-9.9,0.43,0.48
175.468,-41.382,-32.33,-9.9,0.49,0.49
175.497,-41.526,-32.49,-9.17,0.47,0.61
175.585,-41.487,-32.67,-9.67,0.55,0.74
175.426,-41.513,-32.49,-10.03,0.56,0.45
175.394,-41.567,-32.93,-9.92,0.49,0.42
175.23,-41.119,-24.97,-9.13,0.51,0.45
175.197,-41.145,-25.08,-7.85,0.53,0.47
174.881,-41.09,-18.98,-5.46,0.49,0.62
174.902,-41.418,-28.79,-9.11,0.47,0.51
175.009,-41.39,-29.19,-9.42,0.59,0.49
175.284,-41.261,-30.02,-9.77,0.51,0.44
175.343,-41.284,-31.27,-9.52,0.4,0.43
175.347,-41.203,-28.96,-10.1,0.8,0.94
175.185,-41.079,-23.99,-8.59,0.91,0.99
175.309,-41.11,-24.5,-10.16,0.49,0.54
175.405,-41.108,-28.16,-8.53,1.34,0.75
175.45,-41.09,-26.92,-9.96,0.53,0.61
175.353,-41.135,-27.31,-9.96,0.47,0.39
175.391,-41.17,-28.59,-9.93,0.57,0.62
175.447,-41.204,-29.65,-10.14,0.58,0.46
175.155,-41.088,-22.09,-8.92,0.84,0.82
174.952,-41.114,-20.38,-6.21,0.49,0.53
183.434,-43.956,-34.78,-0.94,1.22,1.24
183.522,-43.819,-34.95,-0.8,2.47,1.42
183.426,-43.956,-34.18,0.74,1.53,1.19
167.94,-29.039,-0.42,-0.41,0.56,0.5
166.228,-50.517,-24.6,-18,0.59,0.54
172.743,-43.581,-32.94,-10.74,0.47,0.49
168.253,-46.537,-26.64,-12.76,0.64,0.66
171.354,-43.239,-24.49,-9.5,0.58,0.63
171.314,-43.298,-24.45,-9.52,0.58,0.63
169.15,-52.545,-19.3,-14.28,0.53,0.62
174.831,-36.6,0.57,-0.07,0.63,0.61
170.451,-43.878,-26.92,-11.8,0.57,0.62
170.796,-44.279,-30.99,-12.24,0.54,0.52
170.48,-44.224,-30.13,-11.81,0.52,0.82
170.325,-43.976,-27.36,-12.05,0.52,0.67
170.218,-43.642,-23.74,-8.62,0.67,0.67
170.133,-44.107,-28.63,-12.44,1.41,2.34
170.132,-43.997,-26.24,-11.07,0.78,0.75
170.11,-43.859,-24.14,-10.25,0.7,0.77
170.133,-43.236,-4.91,-0.44,0.56,0.83
170.055,-43.285,-5.38,-0.5,0.55,0.74
170.149,-43.456,-12.66,-0.49,0.55,0.65
170.001,-43.495,-12.25,-0.92,0.61,0.8
169.96,-43.456,-8.66,-1.46,0.42,0.53
169.854,-43.396,-5.47,-0.88,0.61,0.52
169.774,-43.447,-5.82,-0.86,0.63,0.5
169.806,-43.516,-10.01,-0.74,1.76,1.27
169.944,-43.566,-13.85,-3.46,0.56,0.7
169.771,-43.606,-13.97,-2.71,2.03,2.16
169.654,-43.652,-11.55,-2.25,0.61,0.95
169.556,-43.588,-6.88,-0.58,0.74,1.05
169.472,-43.669,-8.04,-1.58,0.7,0.68
169.384,-43.65,-6.65,-0.94,0.58,0.66
169.447,-43.752,-11.98,-2.82,0.56,0.46
169.338,-43.815,-13.22,-3.91,0.52,0.53
169.366,-43.872,-16.01,-5.38,0.54,0.75
169.004,-43.861,-6.95,-0.83,0.46,0.46
169.856,-43.666,-18.65,-4.8,1.7,1.73
169.958,-43.606,-16.5,-4.39,0.57,0.63
169.998,-43.658,-19.39,-7.46,0.84,0.71
169.939,-43.725,-20.16,-7.63,0.58,0.74
169.91,-43.49,-8.17,-0.92,0.71,0.79
169.794,-43.571,-10.24,-1.91,0.57,0.63
169.679,-43.575,-7.39,-0.84,0.62,0.68
169.213,-43.774,-7.91,-0.89,0.6,0.55
170.293,-43.816,-25.23,-10.78,0.58,0.84
172.518,-42.257,-9.77,-2.06,0.59,0.49
172.401,-42.379,-11.91,-2.99,0.56,0.55
172.8,-42.689,-26.56,-10.31,0.66,0.9
172.776,-42.583,-24.3,-9.56,0.98,0.76
172.545,-42.596,-19.63,-9.29,1.54,2.24
172.376,-42.585,-15.32,-6.52,2.11,2.39
172.825,-42.477,-22.16,-8.46,1.12,0.68
171.466,-41.749,-2.7,-0.6,0.47,0.46
171.683,-42.45,-5.45,-0.63,0.59,0.59
171.665,-42.29,-4.38,-0.81,0.43,0.53
171.906,-41.877,-4.06,0.38,0.4,0.5
171.854,-42.096,-5.06,-0.69,0.48,0.51
171.804,-42.555,-7.84,-1.76,0.5,0.57
172.394,-42.475,-13.97,-4.55,0.74,0.64
172.375,-42.531,-15.31,-6.03,0.5,0.74
172.746,-42.212,-12.93,-2.83,0.43,0.44
172.02,-42.456,-7.79,-1.4,0.5,0.61
176.725,-37.916,1.63,-6.36,2.02,1.79
176.685,-37.982,2.18,-9.84,2.31,1.88
176.785,-37.953,5.58,-14.27,1.33,1.27
175.001,-41.114,-20.67,-6.2,0.59,0.68
174.978,-41.013,-18.43,-5.51,0.45,0.48
175.079,-41.077,-20.49,-6.89,0.67,0.56
175.105,-41.115,-22.35,-7.58,0.57,0.46
175.506,-40.974,-24.6,-9.44,1.64,1.36
174.646,-41.311,-20.65,-6.91,1.07,0.88
174.804,-41.155,-18.93,-5.23,0.76,0.63
174.929,-41.235,-23.79,-7.79,0.52,0.62
175.143,-41.15,-24.5,-8.59,0.6,0.69
175.038,-41.219,-25.39,-8.95,1.29,1.41
175.273,-41.093,-25.35,-8.43,0.47,0.62
174.874,-41.334,-25.27,-8.82,1.2,1.28
175.527,-39.303,-0.05,-2.62,0.62,0.61
175.615,-39.278,-0.51,-2.81,0.8,0.63
176.009,-38.734,4.95,-5.28,1.42,1.1
175.553,-39.236,1.01,-3.52,0.74,0.49
177.559,-38.407,2.16,-16.51,0.53,0.6
169.359,-44.1,-22.15,-9.18,0.6,0.46
169.075,-43.911,-11.06,-5.43,0.94,0.91
169.478,-44.216,-24.44,-11.05,0.58,0.68
169.416,-44.313,-25.26,-12.18,0.45,0.53
167.608,-46.155,-26.04,-7.09,1.09,1.72
166.952,-45.266,-22.04,-3.89,1.24,1.54
177.113,-38.261,4,-14.8,0.68,0.89
